PDF Templates,قوالب PDF
Track order,تتبع الطلب,
Track this shipment,مسار هذه الشحنة,
Tracking number %s for %s assigned,رقم المسار %s لل %s المحال,
Tracking number can not be empty.,رقم تتبع الشحن يجب أن لايكون فارغ,
Transactional Emails,معاملات رسائل البريد الالكتروني,
Type,النوع,
Type:,النوع:,
Unable to find a poll to delete,لم تتمكن من العثور على استطلاع للحذف,
Unable to find a tag to delete,لم تتمكن من العثور على اي علامة على حذف,
Unable to find a user to delete,لم يتمكن من العثور على مستخدم للحذف,
Unable to initialize import model,تعذر تهيئة نموذج الاستيراد,
Unable to save Cron expression,غير قادر على حفظ التعبير Cron,
Uninstall,المسح,
"Uninstalling $pkg, please wait...","المسح $pkg, رجاء انتظر...",
"Uninstalling selected packages, please wait...",الغاء تثبيت مجموعات مختارة ، يرجى الانتظار...,
Unknown,غير معروف,
Unknown error,خطاء غير معروف,
Unselect All,غير منتقي للجميع,
Unselect Visible,غير مختار الظاهر,
Update,تحديث,
Updated At,تحديث في,
Upgrade,ترقيه,
Upgrade All Available Packages,ترقية جميع المجموعات المسموحة,
Upgrade all available packages,ترقيه جميع المجموعات المسموحة,
Upgrade all packages,ترقية جميع المجموعات,
"Upgrading $pkg, please wait...","ترقية $pkg, رجاء انتظر...",
"Upgrading all available packages, please wait...",ترقية كل ما هو متاح من مجموعات ، يرجى الانتظار...,
"Upgrading all packages, please wait...",رفع مستوى جميع الحزم ، يرجى الانتظار...,
"Upgrading selected packages, please wait...",رفع مستوى مجموعات مختارة ، يرجى الانتظار...,
Upload File,تحميل الملف,
Upload Files,تحميل الملف,
Upload HTTP Error,خطأ في تحميل بروتوكول انتقال النص المتشعب,
Upload I/O Error,تحميل  I/O خطاء,
Upload Local File,تحميل الملف المحلية,
Upload Security Error,تحميل الأمن خطأ,
Upload and Install,تحميل و تثبيت,
Upload import file,تحميل ملف الاستيراد,
Upload local file:,تحميل الملف المحلية:,
Url Rewrite Management,إعادة كتابة موقع الادارة,
Urlrewrite Information,معلومات إعادة كتابة الرابط,
Use Config Settings,استخدام إعدادات التكوين,
Use Default Value,استخدام قيمة افتراضية,
Use default,استخدام افتراضي,
Use website,استخدام موقع,
User,مستخدم,
User Email,مستخدم البريد الالكتروني,
User ID,رمز التعريفي للمستخدم,
User Info,معلومات المستخدم,
User Information,معلومات المستخدم,
User Name,اسم المستخدم,
User Name:,اسم المستخدم:,
User Role,دور المستخدم,
User Roles,ادوار المستخدم,
User Roles Information,معلومات ادوار المستخدمين,
User name,اسم المستخدم,
User was successfully deleted,تم حذف المستخدم بنجاح,
User was successfully saved,تم حفظ المستخدم بنجاح,
User with the same User Name or Email aleady exists,تم دخول المستخدم الذي يملك نفس اسم المستخدم او البريد الالكتروني,
Users,مستخدمين,
Value,قيمة,
Value Delimiter:,قيمة محدد:,
Version,النسخة,
Version:,النسخة:,
View,مشاهدة,
View Actions XML,مشاهدة الافعال XML,
View Statistics for,مشاهدة الاحصائات ل,
Visibility:,ظهور:,
Warning! Empty value can cause problems with CSV format.,تحذير ! قيمة فارغة قد تسبب مشاكل مع تطبيق CSV  .,
Warning!rnThis action will remove this user from already assigned rolernAre you sure?,تحذير! rn هذا الإجراء سيؤدي إلى إزالة هذا المستخدم من الدور المعينrn هل أنت متأكد؟,
Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?,تحذير! rn هذا الإجراء سيؤدي إلى إزالة المستخدمين من الدور المعينrn هل أنت متأكد؟,
Warning: Please don't close window during importing/exporting data,تحذير : الرجاء عدم اغلاق النافذة خلال استيراد / تصدير البيانات,
Watermark File for %s,الملف المائي لل %s,
"We're in our typing table, coding away more features for Magento. Thank you for your patience.",نحن لدينا في الجدول الطباعه على الآلة الكاتبه ، بعيدا الترميز ميزات أكثر لmagento. شكرا لك على الصبر.,
Web Section,قسم الويب,
Web Services,خدمات الويب,
Web services,خدمات الويب,
Website,موقع إلكتروني,
Website:,موقع إلكتروني:,
Websites,مواقع إلكترونية,
Websites / Stores,مواقع إلكترونية / المتاجر,
What is this?,ما هذا؟,
Wishlist Report,تقرير الأماني,
Wrong column format,خطاء في شكل العمود,
Wrong tab configuration,خطاء في تشكيل العلامة,
XML,XML,
YTD,منذ بداية العام,
Year,سنة,
Yes,نعم,
Yes (only price with tax),نعم (السعر فقط مع الضريبه),
You can not delete self assigned roles.,لا يمكنك حذف الادوار المسنده الذاتية.,
You cannot delete account of yourself,انت لا تستطيع ان تحذف حساب من تلقاء نفسك,
You have,أنت لديك,
You have not enought permissions to login.,انت لا تملك تصريحات كافية لتسجيل الدخول.,
You have not enought permissions to use this functionality.,انت لا تمتلك التصريحات الكافية لاستخدام هذه الوظائف.,
You need specify carrier.,انت بحاجة لتحديد شركة الشحن,
You need to specify order items,يجب تحديد منتجات الطلب,
You successfully logged out.,لقد سجلت الخروج بنجاح.,
Your answers contain duplicates.,"اجاباتك تحتوي على تكرار.""",
Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.,مخدم الـPHP لديك يسمح برفع ملفات ليس أكبر من %s في الوقت الحالي. الرجاء تعديل  post_max_size قيم   (حاليا هي %s) و upload_max_filesize (حاليا هي %s) في الملف php.ini إذا كنت تريد رفع ملفات أكبر,
Zip/Postal Code,الرمز البريدي,
Zip/Postal Code:,الرمز البريدي:,
[ deleted ],[ حذف ],
[deleted],[حذف],
b,b,
close,إغلاق,
critical,خطير,
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","مثال: ""sitemap/"" أو ""/"" لقاعدة المسار (المسار يمكن إعادة الكتابة عليه)",
example: sitemap.xml,مثال: sitemap.xml,
from,نموذج,
images/logo.gif,صور / شعار.gif,
items selected,العناصر المختارة,
major,أساسي,
md5sum,md5sum,
minor,ثانوي,
notice,إشعار,
of %s pages,الصفحة %s من,
or,أو,
per page,لكل صفحة,
store(%s) scope,هدف (%s) المتجر ,
to,الى,
website(%s) scope,هدف (%s) الموقع,
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}} ليس من الموصى به للاستخدام في الانتاج البيئي لتصريح القاعدة غير الامنUrl / Base Secure Url. إنها موصى بها جدا لتغيير هذه القيمة في ماجنتو الخاص بك<a href=""%s"">الإعدادات</a>.",
Content Management,إدارة المحتوى,
Content Management,إدارة المحتوى,
Manage Apps,تطبيقات الهواتف الذكية,
Orders,طلبات الشراء,
Catalog,المنتجات,
Theme Settings,الإعدادات الخاصة بالقالب,
View Store,واجهة المتجر حسب اللغة,
Show / Hide Editor,اظهار / اخفاء الكود,
Any edits done here can block access to certain paths,which cannot be undone. Be careful!,رسالة مهمة: يمكن لأي تعديلات تم إجراؤها هنا منع الدخول إلى مسارات معينة، والتي لا يمكن التراجع عنها. كن حذرا!
